date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-01,1.7,-0.5,2.6,2.0,100.0,243.0,9.4,33.8,1026.6,0
2000-01-02,1.9,-0.2,5.8,0.0,30.0,275.0,7.6,29.5,1032.1,366
2000-01-03,-0.4,-3.3,0.9,0.0,0.0,267.0,7.6,24.8,1030.7,24
2000-01-04,3.8,-2.8,6.6,0.4,0.0,225.0,9.7,42.1,1024.5,270
2000-01-05,5.3,4.3,7.3,0.0,0.0,255.0,11.9,47.5,1024.6,12
2000-01-06,-1.0,-3.4,4.3,0.0,0.0,277.0,3.2,12.6,1025.0,168
2000-01-07,3.4,-2.4,7.6,0.0,0.0,212.0,5.0,22.0,1026.2,150
2000-01-08,2.7,0.4,8.6,0.0,0.0,216.0,6.5,20.2,1024.8,252
2000-01-09,1.8,-1.0,2.5,1.3,0.0,162.0,3.6,12.2,1025.0,0
2000-01-10,-0.6,-1.6,2.1,0.0,0.0,70.0,6.5,19.8,1034.3,0
2000-01-11,-0.6,-1.3,0.0,0.0,0.0,105.0,8.3,21.6,1038.9,0
2000-01-12,-2.4,-3.0,-0.2,0.0,0.0,108.0,7.2,20.9,1033.1,0
2000-01-13,-2.9,-4.7,0.3,0.0,0.0,127.0,6.1,19.4,1024.3,312
2000-01-14,-4.1,-7.8,0.8,0.0,0.0,65.0,5.4,13.7,1025.9,468
2000-01-15,-5.8,-7.8,-4.6,0.0,0.0,48.0,4.3,12.6,1033.2,0
2000-01-16,-2.9,-5.5,-1.6,0.0,0.0,308.0,5.4,20.2,1035.0,0
2000-01-17,1.8,-3.0,3.1,6.5,0.0,251.0,24.1,59.8,1025.4,0
2000-01-18,1.7,0.0,3.7,7.8,0.0,275.0,25.9,72.7,1018.7,0
2000-01-19,-1.4,-2.2,1.8,0.0,20.0,272.0,13.3,34.6,1029.6,324
2000-01-20,-0.6,-2.9,0.5,0.0,10.0,246.0,16.2,50.0,1030.0,12
2000-01-21,0.1,-0.5,0.6,7.5,0.0,258.0,28.1,70.6,1023.1,0
2000-01-22,0.3,-0.8,0.9,5.2,120.0,251.0,13.7,37.4,1012.6,0
2000-01-23,-2.8,-5.5,0.5,2.4,150.0,320.0,10.8,29.2,1013.7,6
2000-01-24,-10.2,-12.4,-5.5,0.0,150.0,52.0,6.5,17.6,1025.8,486
2000-01-25,-12.2,-16.4,-5.9,0.0,140.0,39.0,4.0,17.3,1032.7,504
2000-01-26,-9.2,-15.6,-3.3,0.0,120.0,260.0,4.3,13.3,1036.1,528
2000-01-27,-4.3,-10.4,2.2,0.0,120.0,237.0,7.9,24.8,1032.1,540
2000-01-28,2.2,-9.2,5.2,0.0,120.0,247.0,14.0,41.0,1023.0,360
2000-01-29,6.0,3.1,7.2,0.9,90.0,245.0,32.4,84.2,1010.6,0
2000-01-30,7.4,6.6,8.2,9.2,0.0,256.0,31.0,91.4,1016.4,0
2000-01-31,7.6,6.4,10.5,0.0,0.0,255.0,25.6,77.0,1026.3,150
2000-02-01,8.6,1.2,14.5,0.0,0.0,210.0,7.9,30.2,1022.2,546
2000-02-02,7.8,6.4,11.9,4.4,0.0,247.0,13.0,40.0,1018.9,156
2000-02-03,3.6,1.4,6.4,0.0,0.0,274.0,15.5,41.8,1034.0,0
2000-02-04,3.8,0.6,7.3,3.0,0.0,244.0,8.3,26.6,1037.5,516
2000-02-05,7.2,3.3,10.5,4.7,0.0,232.0,11.5,40.3,1033.8,24
2000-02-06,8.2,1.2,14.5,0.0,0.0,201.0,6.1,23.8,1025.4,384
2000-02-07,7.3,5.9,9.6,0.2,0.0,230.0,15.8,58.0,1021.4,0
2000-02-08,9.9,6.1,11.8,8.9,0.0,247.0,29.2,76.7,1012.3,66
2000-02-09,3.4,1.8,10.4,0.3,0.0,264.0,24.5,68.0,1023.7,234
2000-02-10,4.6,2.1,10.1,2.9,0.0,228.0,12.2,43.2,1025.5,540
2000-02-11,2.9,1.4,6.0,1.9,0.0,326.0,9.7,40.0,1028.9,0
2000-02-12,1.5,0.5,2.9,0.0,0.0,301.0,9.7,41.0,1027.0,0
2000-02-13,3.8,1.5,6.7,5.1,0.0,255.0,22.3,62.6,1021.8,42
2000-02-14,3.4,0.1,5.9,3.3,0.0,261.0,10.1,36.7,1024.3,378
2000-02-15,6.3,3.9,7.4,1.5,0.0,241.0,15.5,42.1,1017.5,0
2000-02-16,3.5,1.4,6.7,2.8,0.0,234.0,17.3,66.6,1006.0,90
2000-02-17,0.0,-0.9,2.1,1.6,0.0,266.0,19.4,50.4,1009.9,78
2000-02-18,2.2,-1.2,4.5,4.6,30.0,231.0,14.4,42.8,1010.5,24
2000-02-19,3.3,2.0,5.4,5.6,0.0,254.0,15.5,52.6,1009.2,42
2000-02-20,0.2,-0.5,2.8,3.7,0.0,282.0,14.4,38.2,1023.3,0
2000-02-21,-0.8,-2.8,1.8,0.5,20.0,260.0,9.0,32.0,1030.8,228
